topology: 3 3
in: 139 74 24
out: 1 0 0
in: 58 180 152
out: 0 1 0
in: 82 199 250
out: 0 0 1
in: 158 192 245
out: 0 0 1
in: 79 72 233
out: 0 0 1
in: 10 9 166
out: 0 0 1
in: 18 71 238
out: 0 0 1
in: 182 198 167
out: 0 1 0
in: 134 96 234
out: 0 0 1
in: 124 180 188
out: 0 0 1
in: 151 58 17
out: 1 0 0
in: 130 167 143
out: 0 1 0
in: 31 175 136
out: 0 1 0
in: 210 8 133
out: 1 0 0
in: 226 1 56
out: 1 0 0
in: 214 237 29
out: 0 1 0
in: 34 178 28
out: 0 1 0
in: 199 55 204
out: 0 0 1
in: 153 227 159
out: 0 1 0
in: 227 191 250
out: 0 0 1
in: 51 244 69
out: 0 1 0
in: 9 4 153
out: 0 0 1
in: 26 156 157
out: 0 0 1
in: 205 246 77
out: 0 1 0
in: 71 133 153
out: 0 0 1
in: 199 69 151
out: 1 0 0
in: 39 57 197
out: 0 0 1
in: 44 15 92
out: 0 0 1
in: 109 131 120
out: 0 1 0
in: 228 118 92
out: 1 0 0
in: 36 69 181
out: 0 0 1
in: 64 168 49
out: 0 1 0
in: 77 193 239
out: 0 0 1
in: 249 174 73
out: 0 1 0
in: 231 89 181
out: 1 0 0
in: 132 183 209
out: 0 0 1
in: 37 73 16
out: 0 1 0
in: 91 216 79
out: 0 1 0
in: 68 51 10
out: 0 1 0
in: 208 131 70
out: 1 0 0
in: 23 118 243
out: 0 0 1
in: 218 196 155
out: 0 1 0
in: 55 245 114
out: 0 1 0
in: 184 225 46
out: 0 1 0
in: 53 164 84
out: 0 1 0
in: 216 238 123
out: 0 1 0
in: 134 231 164
out: 0 1 0
in: 61 200 219
out: 0 0 1
in: 16 19 36
out: 0 0 1
in: 126 152 153
out: 0 0 1
in: 123 141 112
out: 0 1 0
in: 103 124 154
out: 0 0 1
in: 248 59 96
out: 1 0 0
in: 84 222 83
out: 0 1 0
in: 52 23 26
out: 1 0 0
in: 82 157 29
out: 0 1 0
in: 217 171 155
out: 0 1 0
in: 253 206 191
out: 0 1 0
in: 196 238 154
out: 0 1 0
in: 86 200 134
out: 0 1 0
in: 177 210 128
out: 0 1 0
in: 23 88 148
out: 0 0 1
in: 140 38 41
out: 1 0 0
in: 171 164 207
out: 0 0 1
in: 45 74 241
out: 0 0 1
in: 103 116 182
out: 0 0 1
in: 254 127 95
out: 1 0 0
in: 210 254 78
out: 0 1 0
in: 231 230 69
out: 0 1 0
in: 165 223 39
out: 0 1 0
in: 248 128 114
out: 1 0 0
in: 54 184 201
out: 0 0 1
in: 35 25 8
out: 0 1 0
in: 136 103 9
out: 0 1 0
in: 188 57 151
out: 1 0 0
in: 44 246 157
out: 0 1 0
in: 153 154 49
out: 0 1 0
in: 222 148 220
out: 0 0 1
in: 36 183 140
out: 0 1 0
in: 91 105 160
out: 0 0 1
in: 64 200 21
out: 0 1 0
in: 220 94 96
out: 1 0 0
in: 22 247 32
out: 0 1 0
in: 134 210 108
out: 0 1 0
in: 161 28 230
out: 0 0 1
in: 243 44 48
out: 1 0 0
in: 115 221 35
out: 0 1 0
in: 126 69 30
out: 1 0 0
in: 124 234 27
out: 0 1 0
in: 67 126 4
out: 0 1 0
in: 142 210 50
out: 0 1 0
in: 48 67 7
out: 0 1 0
in: 184 50 106
out: 1 0 0
in: 173 53 9
out: 1 0 0
in: 192 36 5
out: 1 0 0
in: 23 18 134
out: 0 0 1
in: 23 88 185
out: 0 0 1
in: 193 232 166
out: 0 1 0
in: 172 1 232
out: 0 0 1
in: 73 52 80
out: 0 0 1
in: 79 227 192
out: 0 1 0
in: 123 14 152
out: 0 0 1
in: 106 66 47
out: 1 0 0
in: 15 89 188
out: 0 0 1
in: 35 179 238
out: 0 0 1
in: 29 181 59
out: 0 1 0
in: 207 84 131
out: 1 0 0
in: 127 225 74
out: 0 1 0
in: 240 108 78
out: 1 0 0
in: 191 128 55
out: 0 1 0
in: 54 75 99
out: 0 0 1
in: 75 133 60
out: 0 1 0
in: 36 115 66
out: 0 1 0
in: 186 170 15
out: 0 1 0
in: 154 248 95
out: 0 1 0
in: 65 89 198
out: 0 0 1
in: 175 113 129
out: 1 0 0
in: 140 247 193
out: 0 1 0
in: 64 83 134
out: 0 0 1
in: 149 172 30
out: 0 1 0
in: 243 209 142
out: 0 1 0
in: 28 192 210
out: 0 0 1
in: 240 185 113
out: 0 1 0
in: 53 147 245
out: 0 0 1
in: 14 195 77
out: 0 1 0
in: 35 81 176
out: 0 0 1
in: 63 170 138
out: 0 1 0
in: 83 67 134
out: 0 0 1
in: 58 89 68
out: 0 1 0
in: 225 146 114
out: 1 0 0
in: 114 192 8
out: 0 1 0
in: 205 3 191
out: 0 0 1
in: 72 154 227
out: 0 0 1
in: 32 243 228
out: 0 1 0
in: 111 244 235
out: 0 1 0
in: 109 61 208
out: 0 0 1
in: 123 134 174
out: 0 0 1
in: 153 66 53
out: 1 0 0
in: 244 82 160
out: 1 0 0
in: 75 31 199
out: 0 0 1
in: 157 133 208
out: 0 0 1
in: 7 211 72
out: 0 1 0
in: 176 240 75
out: 0 1 0
in: 61 218 251
out: 0 0 1
in: 76 108 249
out: 0 0 1
in: 154 251 168
out: 0 1 0
in: 16 41 145
out: 0 0 1
in: 141 136 102
out: 0 1 0
in: 224 12 16
out: 1 0 0
in: 74 132 60
out: 0 1 0
in: 186 147 206
out: 0 0 1
in: 4 45 143
out: 0 0 1
in: 247 181 171
out: 1 0 0
in: 132 65 252
out: 0 0 1
in: 126 75 232
out: 0 0 1
in: 94 108 83
out: 0 1 0
in: 84 233 148
out: 0 1 0
in: 176 1 52
out: 1 0 0
in: 124 237 233
out: 0 1 0
in: 2 109 69
out: 0 1 0
in: 82 229 98
out: 0 1 0
in: 34 116 18
out: 0 1 0
in: 221 244 194
out: 0 1 0
in: 212 235 169
out: 0 1 0
in: 221 111 70
out: 1 0 0
in: 55 206 254
out: 0 0 1
in: 36 187 126
out: 0 1 0
in: 223 156 176
out: 1 0 0
in: 27 126 253
out: 0 0 1
in: 140 190 140
out: 0 1 0
in: 152 89 53
out: 1 0 0
in: 151 165 193
out: 0 0 1
in: 61 7 21
out: 1 0 0
in: 93 248 115
out: 0 1 0
in: 51 79 122
out: 0 0 1
in: 179 38 90
out: 1 0 0
in: 49 205 110
out: 0 1 0
in: 112 91 103
out: 0 0 1
in: 167 105 219
out: 0 0 1
in: 34 228 177
out: 0 1 0
in: 192 1 187
out: 0 0 1
in: 80 220 218
out: 0 1 0
in: 2 64 22
out: 0 1 0
in: 85 134 231
out: 0 0 1
in: 162 193 60
out: 0 1 0
in: 210 180 100
out: 0 1 0
in: 13 114 56
out: 0 1 0
in: 120 68 219
out: 0 0 1
in: 215 58 133
out: 1 0 0
in: 96 147 230
out: 0 0 1
in: 159 14 199
out: 0 0 1
in: 38 72 197
out: 0 0 1
in: 67 103 252
out: 0 0 1
in: 246 225 220
out: 0 1 0
in: 203 125 86
out: 1 0 0
in: 59 169 219
out: 0 0 1
in: 12 254 54
out: 0 1 0
in: 70 128 180
out: 0 0 1
in: 78 29 221
out: 0 0 1
in: 132 174 188
out: 0 0 1
in: 165 91 114
out: 1 0 0
in: 144 116 202
out: 0 0 1
in: 43 189 104
out: 0 1 0
in: 144 156 203
out: 0 0 1
in: 3 172 48
out: 0 1 0
in: 105 95 39
out: 0 1 0
in: 52 190 96
out: 0 1 0
in: 214 41 231
out: 0 0 1
in: 184 80 248
out: 0 0 1
in: 245 191 45
out: 0 1 0
in: 158 155 98
out: 0 1 0
in: 64 69 115
out: 0 0 1
in: 10 106 169
out: 0 0 1
in: 97 100 20
out: 0 1 0
in: 82 216 15
out: 0 1 0
in: 3 124 239
out: 0 0 1
in: 155 150 239
out: 0 0 1
in: 103 239 67
out: 0 1 0
in: 102 13 179
out: 0 0 1
in: 157 177 40
out: 0 1 0
in: 130 2 51
out: 1 0 0
in: 186 31 252
out: 0 0 1
in: 214 110 199
out: 0 0 1
in: 139 96 190
out: 0 0 1
in: 129 76 113
out: 0 0 1
in: 66 10 78
out: 0 0 1
in: 12 220 38
out: 0 1 0
in: 179 26 44
out: 1 0 0
in: 240 129 243
out: 0 0 1
in: 55 9 119
out: 0 0 1
in: 196 17 8
out: 1 0 0
in: 177 30 139
out: 1 0 0
in: 58 0 86
out: 0 0 1
in: 193 99 173
out: 0 0 1
in: 6 218 99
out: 0 1 0
in: 97 40 84
out: 0 0 1
in: 84 240 47
out: 0 1 0
in: 223 97 51
out: 1 0 0
in: 74 11 184
out: 0 0 1
in: 112 234 243
out: 0 0 1
in: 92 194 252
out: 0 0 1
in: 249 160 135
out: 1 0 0
in: 217 206 57
out: 0 1 0
in: 100 105 75
out: 0 1 0
in: 12 24 137
out: 0 0 1
in: 113 36 14
out: 1 0 0
in: 231 95 68
out: 1 0 0
in: 223 236 221
out: 0 1 0
in: 112 41 122
out: 0 0 1
in: 188 220 60
out: 0 1 0
in: 12 213 107
out: 0 1 0
in: 186 71 185
out: 0 0 1
in: 60 220 49
out: 0 1 0
in: 161 214 244
out: 0 0 1
in: 25 69 44
out: 0 1 0
in: 15 47 208
out: 0 0 1
in: 81 231 179
out: 0 1 0
in: 113 106 112
out: 0 0 1
in: 24 213 195
out: 0 1 0
in: 12 125 200
out: 0 0 1
in: 22 19 213
out: 0 0 1
in: 229 153 69
out: 0 1 0
in: 37 183 196
out: 0 0 1
in: 11 88 121
out: 0 0 1
in: 219 32 152
out: 1 0 0
in: 108 108 87
out: 0 1 0
in: 57 51 241
out: 0 0 1
in: 102 223 82
out: 0 1 0
in: 196 245 242
out: 0 1 0
in: 33 225 220
out: 0 1 0
in: 158 248 234
out: 0 1 0
in: 17 178 81
out: 0 1 0
in: 51 247 163
out: 0 1 0
in: 133 5 120
out: 1 0 0
in: 104 19 14
out: 1 0 0
in: 71 107 44
out: 0 1 0
in: 74 228 132
out: 0 1 0
in: 106 129 147
out: 0 0 1
in: 250 209 71
out: 0 1 0
in: 167 79 31
out: 1 0 0
in: 48 98 52
out: 0 1 0
in: 29 22 109
out: 0 0 1
in: 47 164 228
out: 0 0 1
in: 82 104 176
out: 0 0 1
in: 54 237 156
out: 0 1 0
in: 83 85 34
out: 0 1 0
in: 50 197 125
out: 0 1 0
in: 228 37 241
out: 0 0 1
in: 7 11 233
out: 0 0 1
in: 32 251 196
out: 0 1 0
in: 33 44 113
out: 0 0 1
in: 195 56 227
out: 0 0 1
in: 241 21 173
out: 1 0 0
in: 3 53 19
out: 0 1 0
in: 107 191 74
out: 0 1 0
in: 236 23 110
out: 1 0 0
in: 43 23 219
out: 0 0 1
in: 206 36 216
out: 0 0 1
in: 92 50 41
out: 1 0 0
in: 88 144 96
out: 0 1 0
in: 112 189 62
out: 0 1 0
in: 43 106 206
out: 0 0 1
in: 226 101 225
out: 0 0 1
in: 13 217 130
out: 0 1 0
in: 167 9 73
out: 1 0 0
in: 236 130 235
out: 0 0 1
in: 239 124 56
out: 1 0 0
in: 140 228 72
out: 0 1 0
in: 251 234 195
out: 0 1 0
in: 223 241 84
out: 0 1 0
in: 86 109 178
out: 0 0 1
in: 104 107 240
out: 0 0 1
in: 64 45 86
out: 0 0 1
in: 40 216 180
out: 0 1 0
in: 234 98 117
out: 1 0 0
in: 144 107 54
out: 0 1 0
in: 17 245 32
out: 0 1 0
in: 175 221 99
out: 0 1 0
in: 186 13 142
out: 1 0 0
in: 55 83 98
out: 0 0 1
in: 21 218 124
out: 0 1 0
in: 19 70 87
out: 0 0 1
in: 253 215 118
out: 0 1 0
in: 226 120 146
out: 1 0 0
in: 169 218 93
out: 0 1 0
in: 252 245 69
out: 0 1 0
in: 15 127 30
out: 0 1 0
in: 141 2 4
out: 1 0 0
in: 239 92 172
out: 1 0 0
in: 250 132 235
out: 0 0 1
in: 25 142 117
out: 0 1 0
in: 160 18 238
out: 0 0 1
in: 156 190 67
out: 0 1 0
in: 206 226 129
out: 0 1 0
in: 151 98 53
out: 1 0 0
in: 157 155 111
out: 0 1 0
in: 75 182 67
out: 0 1 0
in: 153 125 29
out: 0 1 0
in: 77 254 226
out: 0 1 0
in: 183 124 175
out: 0 0 1
in: 43 34 50
out: 0 0 1
in: 49 228 77
out: 0 1 0
in: 43 140 62
out: 0 1 0
in: 214 39 121
out: 1 0 0
in: 106 40 175
out: 0 0 1
in: 155 34 18
out: 1 0 0
in: 142 94 33
out: 0 1 0
in: 228 54 40
out: 1 0 0
in: 83 97 131
out: 0 0 1
in: 59 222 156
out: 0 1 0
in: 161 50 33
out: 1 0 0
in: 95 137 188
out: 0 0 1
in: 32 173 137
out: 0 1 0
in: 159 54 132
out: 1 0 0
in: 165 252 189
out: 0 1 0
in: 123 45 35
out: 1 0 0
in: 81 79 155
out: 0 0 1
in: 37 194 108
out: 0 1 0
in: 58 136 193
out: 0 0 1
in: 246 210 45
out: 0 1 0
in: 27 33 45
out: 0 0 1
in: 254 244 118
out: 0 1 0
in: 35 175 3
out: 0 1 0
in: 76 186 45
out: 0 1 0
in: 204 106 73
out: 1 0 0
in: 30 145 238
out: 0 0 1
in: 142 226 98
out: 0 1 0
in: 119 242 147
out: 0 1 0
in: 28 14 84
out: 0 0 1
in: 195 151 135
out: 0 1 0
in: 115 25 102
out: 1 0 0
in: 40 9 194
out: 0 0 1
in: 47 251 75
out: 0 1 0
in: 169 191 122
out: 0 1 0
in: 112 157 126
out: 0 1 0
in: 126 77 80
out: 1 0 0
in: 58 212 3
out: 0 1 0
in: 145 133 117
out: 0 1 0
in: 89 133 95
out: 0 1 0
in: 158 172 93
out: 0 1 0
in: 168 228 172
out: 0 1 0
in: 207 142 192
out: 0 0 1
in: 175 105 204
out: 0 0 1
in: 135 250 115
out: 0 1 0
in: 247 224 242
out: 0 0 1
in: 179 203 223
out: 0 0 1
in: 167 177 174
out: 0 1 0
in: 65 153 124
out: 0 1 0
in: 131 179 171
out: 0 1 0
in: 231 201 236
out: 0 0 1
in: 20 92 102
out: 0 0 1
in: 4 214 104
out: 0 1 0
in: 25 211 199
out: 0 1 0
in: 196 128 152
out: 1 0 0
in: 166 103 213
out: 0 0 1
in: 69 208 237
out: 0 0 1
in: 134 193 131
out: 0 1 0
in: 176 31 213
out: 0 0 1
in: 79 244 151
out: 0 1 0
in: 35 121 153
out: 0 0 1
in: 178 20 172
out: 0 0 1
in: 131 250 253
out: 0 0 1
in: 91 48 125
out: 0 0 1
in: 231 153 103
out: 1 0 0
in: 109 48 245
out: 0 0 1
in: 121 50 42
out: 1 0 0
in: 190 9 239
out: 0 0 1
in: 228 121 32
out: 1 0 0
in: 152 154 203
out: 0 0 1
in: 49 65 149
out: 0 0 1
in: 226 130 249
out: 0 0 1
in: 197 103 110
out: 1 0 0
in: 225 16 98
out: 1 0 0
in: 241 204 203
out: 0 0 1
in: 103 54 70
out: 1 0 0
in: 32 178 214
out: 0 0 1
in: 232 222 132
out: 0 1 0
in: 223 5 137
out: 1 0 0
in: 37 35 105
out: 0 0 1
in: 215 245 75
out: 0 1 0
in: 208 102 10
out: 1 0 0
in: 35 73 73
out: 0 0 1
in: 152 185 38
out: 0 1 0
in: 121 112 253
out: 0 0 1
in: 187 96 185
out: 0 0 1
in: 189 197 191
out: 0 1 0
in: 8 49 113
out: 0 0 1
in: 188 78 224
out: 0 0 1
in: 134 223 237
out: 0 0 1
in: 22 171 119
out: 0 1 0
in: 3 37 134
out: 0 0 1
in: 76 172 112
out: 0 1 0
in: 183 135 7
out: 0 1 0
in: 236 32 111
out: 1 0 0
in: 187 3 164
out: 1 0 0
in: 9 156 114
out: 0 1 0
in: 222 38 196
out: 1 0 0
in: 226 214 252
out: 0 0 1
in: 40 163 224
out: 0 0 1
in: 110 112 96
out: 0 1 0
in: 102 243 116
out: 0 1 0
in: 168 96 136
out: 1 0 0
in: 205 117 194
out: 0 0 1
in: 162 216 121
out: 0 1 0
in: 213 125 235
out: 0 0 1
in: 32 166 28
out: 0 1 0
in: 130 72 191
out: 0 0 1
in: 16 244 204
out: 0 1 0
in: 253 225 229
out: 0 0 1
in: 106 176 114
out: 0 1 0
in: 14 41 121
out: 0 0 1
in: 101 200 108
out: 0 1 0
in: 221 132 179
out: 1 0 0
in: 21 30 211
out: 0 0 1
in: 167 140 75
out: 0 1 0
in: 71 79 211
out: 0 0 1
in: 95 223 166
out: 0 1 0
in: 80 36 222
out: 0 0 1
in: 182 114 164
out: 0 0 1
in: 211 253 58
out: 0 1 0
in: 188 161 253
out: 0 0 1
in: 62 101 243
out: 0 0 1
in: 187 140 17
out: 0 1 0
in: 162 254 87
out: 0 1 0
in: 32 40 9
out: 0 1 0
in: 223 103 166
out: 1 0 0
in: 109 140 102
out: 0 1 0
in: 235 12 146
out: 1 0 0
in: 92 153 119
out: 0 1 0
in: 21 118 227
out: 0 0 1
in: 132 43 131
out: 0 0 1
in: 59 85 231
out: 0 0 1
in: 186 123 119
out: 1 0 0
in: 159 184 195
out: 0 0 1
in: 91 29 157
out: 0 0 1
in: 195 115 25
out: 1 0 0
in: 26 216 168
out: 0 1 0
in: 196 114 4
out: 0 1 0
in: 243 134 91
out: 1 0 0
in: 18 158 173
out: 0 0 1
in: 13 64 36
out: 0 1 0
in: 9 159 90
out: 0 1 0
in: 45 167 59
out: 0 1 0
in: 229 17 98
out: 1 0 0
in: 103 120 116
out: 0 1 0
in: 247 65 229
out: 0 0 1
in: 173 37 170
out: 0 0 1
in: 0 116 178
out: 0 0 1
in: 240 252 86
out: 0 1 0
in: 98 84 187
out: 0 0 1
in: 35 248 131
out: 0 1 0
in: 138 172 18
out: 0 1 0
in: 53 220 127
out: 0 1 0
in: 236 242 37
out: 0 1 0
in: 92 1 13
out: 1 0 0
in: 89 219 33
out: 0 1 0
in: 221 243 155
out: 0 1 0
in: 170 93 137
out: 1 0 0
in: 10 47 68
out: 0 0 1
in: 50 38 243
out: 0 0 1
in: 91 217 141
out: 0 1 0
in: 193 245 14
out: 0 1 0
in: 158 183 199
out: 0 0 1
in: 237 167 111
out: 0 1 0
in: 213 32 0
out: 1 0 0
in: 230 25 58
out: 1 0 0
in: 156 20 190
out: 0 0 1
in: 119 212 225
out: 0 0 1
in: 136 118 250
out: 0 0 1
in: 0 134 5
out: 0 1 0
in: 249 3 246
out: 0 0 1
in: 233 193 201
out: 0 0 1
in: 164 74 133
out: 1 0 0
in: 106 142 24
out: 0 1 0
in: 194 233 118
out: 0 1 0
in: 56 2 10
out: 1 0 0
in: 46 187 139
out: 0 1 0
in: 95 170 77
out: 0 1 0
in: 248 91 102
out: 1 0 0
in: 135 151 243
out: 0 0 1
in: 228 124 226
out: 0 0 1
in: 47 198 24
out: 0 1 0
in: 92 231 91
out: 0 1 0
in: 82 101 79
out: 0 1 0
in: 229 91 136
out: 1 0 0
in: 74 215 118
out: 0 1 0
in: 42 124 74
out: 0 1 0
in: 162 179 230
out: 0 0 1
in: 143 233 187
out: 0 1 0
in: 109 242 203
out: 0 1 0
in: 130 184 49
out: 0 1 0
in: 92 147 216
out: 0 0 1
in: 83 6 90
out: 0 0 1
in: 166 62 171
out: 0 0 1
in: 236 174 55
out: 0 1 0
in: 33 243 22
out: 0 1 0
in: 140 90 238
out: 0 0 1
in: 189 196 122
out: 0 1 0
in: 12 0 6
out: 1 0 0
in: 43 106 136
out: 0 0 1
in: 132 123 154
out: 0 0 1
in: 8 85 26
out: 0 1 0
in: 10 6 120
out: 0 0 1
in: 241 155 24
out: 0 1 0
in: 40 181 50
out: 0 1 0
in: 234 43 160
out: 1 0 0
in: 63 136 66
out: 0 1 0
in: 139 11 51
out: 1 0 0
in: 11 85 57
out: 0 1 0
in: 143 83 146
out: 0 0 1
in: 56 9 146
out: 0 0 1
in: 202 176 143
out: 0 1 0
in: 69 26 12
out: 1 0 0
in: 189 187 31
out: 0 1 0
in: 216 126 32
out: 1 0 0
in: 23 93 240
out: 0 0 1
in: 165 44 48
out: 1 0 0
in: 63 141 225
out: 0 0 1
in: 14 212 62
out: 0 1 0
in: 33 83 34
out: 0 1 0
in: 8 233 151
out: 0 1 0
in: 12 246 202
out: 0 1 0
in: 22 23 145
out: 0 0 1
in: 80 13 131
out: 0 0 1
in: 55 231 124
out: 0 1 0
in: 0 23 53
out: 0 0 1
in: 114 94 205
out: 0 0 1
in: 174 247 18
out: 0 1 0
in: 128 235 237
out: 0 0 1
in: 47 222 243
out: 0 0 1
in: 49 191 53
out: 0 1 0
in: 207 52 131
out: 1 0 0
in: 33 173 109
out: 0 1 0
in: 249 233 159
out: 0 1 0
in: 122 151 47
out: 0 1 0
in: 154 231 71
out: 0 1 0
in: 117 156 124
out: 0 1 0
in: 133 134 212
out: 0 0 1
in: 119 100 83
out: 0 1 0
in: 175 229 62
out: 0 1 0
in: 146 23 139
out: 0 0 1
in: 6 111 231
out: 0 0 1
in: 159 12 184
out: 0 0 1
in: 214 203 164
out: 0 1 0
in: 172 64 207
out: 0 0 1
in: 142 168 71
out: 0 1 0
in: 82 196 41
out: 0 1 0
in: 67 174 70
out: 0 1 0
in: 185 6 0
out: 1 0 0
in: 151 64 205
out: 0 0 1
in: 87 144 193
out: 0 0 1
in: 100 210 170
out: 0 1 0
in: 186 91 126
out: 1 0 0
in: 29 245 219
out: 0 1 0
in: 49 107 55
out: 0 1 0
in: 250 70 34
out: 1 0 0
in: 196 143 243
out: 0 0 1
in: 124 29 70
out: 1 0 0
in: 3 237 214
out: 0 1 0
in: 246 39 74
out: 1 0 0
in: 219 162 32
out: 0 1 0
in: 176 253 48
out: 0 1 0
in: 0 19 125
out: 0 0 1
in: 169 87 99
out: 1 0 0
in: 70 220 214
out: 0 1 0
in: 32 118 105
out: 0 1 0
in: 239 154 159
out: 1 0 0
in: 51 65 214
out: 0 0 1
in: 32 199 18
out: 0 1 0
in: 33 88 210
out: 0 0 1
in: 107 2 2
out: 1 0 0
in: 74 61 249
out: 0 0 1
in: 192 140 36
out: 0 1 0
in: 75 79 174
out: 0 0 1
in: 16 192 116
out: 0 1 0
in: 247 51 247
out: 0 0 1
in: 20 176 159
out: 0 1 0
in: 119 170 171
out: 0 0 1
in: 58 222 85
out: 0 1 0
in: 11 131 181
out: 0 0 1
in: 182 175 224
out: 0 0 1
in: 129 37 123
out: 0 0 1
in: 88 17 249
out: 0 0 1
in: 37 117 76
out: 0 1 0
in: 231 132 192
out: 0 0 1
in: 99 9 31
out: 1 0 0
in: 34 31 101
out: 0 0 1
in: 144 141 149
out: 0 0 1
in: 10 186 12
out: 0 1 0
in: 185 144 142
out: 1 0 0
in: 14 227 224
out: 0 1 0
in: 172 105 250
out: 0 0 1
in: 14 88 118
out: 0 0 1
in: 151 155 78
out: 0 1 0
in: 30 65 150
out: 0 0 1
in: 29 86 89
out: 0 0 1
in: 194 179 27
out: 0 1 0
in: 97 29 94
out: 0 0 1
in: 65 103 123
out: 0 0 1
in: 138 66 239
out: 0 0 1
in: 199 27 246
out: 0 0 1
in: 172 73 128
out: 1 0 0
in: 16 236 183
out: 0 1 0
in: 135 116 190
out: 0 0 1
in: 172 59 15
out: 1 0 0
in: 28 154 119
out: 0 1 0
in: 139 240 174
out: 0 1 0
in: 119 169 22
out: 0 1 0
in: 197 25 129
out: 1 0 0
in: 49 229 174
out: 0 1 0
in: 225 187 3
out: 0 1 0
in: 175 68 191
out: 0 0 1
in: 46 88 223
out: 0 0 1
in: 51 85 129
out: 0 0 1
in: 170 177 55
out: 0 1 0
in: 78 44 31
out: 1 0 0
in: 195 225 151
out: 0 1 0
in: 10 43 204
out: 0 0 1
in: 57 97 234
out: 0 0 1
in: 186 236 32
out: 0 1 0
in: 95 115 14
out: 0 1 0
in: 220 140 40
out: 0 1 0
in: 13 20 171
out: 0 0 1
in: 227 238 10
out: 0 1 0
in: 179 17 51
out: 1 0 0
in: 206 127 147
out: 1 0 0
in: 4 218 252
out: 0 0 1
in: 234 232 59
out: 0 1 0
in: 104 68 40
out: 1 0 0
in: 236 120 83
out: 1 0 0
in: 221 38 161
out: 1 0 0
in: 109 197 143
out: 0 1 0
in: 152 26 162
out: 0 0 1
in: 128 4 98
out: 1 0 0
in: 242 241 89
out: 0 1 0
in: 4 5 237
out: 0 0 1
in: 47 158 106
out: 0 1 0
in: 243 228 122
out: 0 1 0
in: 69 100 82
out: 0 1 0
in: 64 215 207
out: 0 1 0
in: 220 34 120
out: 1 0 0
in: 204 155 16
out: 0 1 0
in: 141 1 188
out: 0 0 1
in: 26 229 166
out: 0 1 0
in: 191 187 223
out: 0 0 1
in: 97 229 63
out: 0 1 0
in: 79 233 133
out: 0 1 0
in: 11 19 251
out: 0 0 1
in: 177 216 214
out: 0 1 0
in: 23 245 116
out: 0 1 0
in: 92 82 66
out: 0 1 0
in: 65 226 142
out: 0 1 0
in: 160 238 211
out: 0 1 0
in: 205 97 60
out: 1 0 0
in: 65 218 21
out: 0 1 0
in: 1 154 175
out: 0 0 1
in: 66 148 168
out: 0 0 1
in: 204 59 17
out: 1 0 0
in: 56 232 108
out: 0 1 0
in: 31 59 72
out: 0 0 1
in: 155 113 252
out: 0 0 1
in: 154 1 191
out: 0 0 1
in: 95 96 199
out: 0 0 1
in: 212 234 193
out: 0 1 0
in: 217 29 114
out: 1 0 0
in: 88 206 2
out: 0 1 0
in: 16 241 155
out: 0 1 0
in: 254 185 102
out: 0 1 0
in: 249 128 157
out: 1 0 0
in: 139 30 169
out: 0 0 1
in: 194 193 161
out: 0 1 0
in: 212 40 226
out: 0 0 1
in: 49 249 195
out: 0 1 0
in: 27 77 84
out: 0 0 1
in: 254 57 252
out: 0 0 1
in: 243 24 127
out: 1 0 0
in: 66 18 89
out: 0 0 1
in: 40 198 62
out: 0 1 0
in: 37 205 82
out: 0 1 0
in: 168 96 206
out: 0 0 1
in: 207 237 230
out: 0 1 0
in: 141 90 184
out: 0 0 1
in: 230 12 68
out: 1 0 0
in: 11 75 138
out: 0 0 1
in: 225 122 43
out: 1 0 0
in: 73 100 111
out: 0 0 1
in: 162 120 106
out: 1 0 0
in: 68 165 88
out: 0 1 0
in: 178 198 86
out: 0 1 0
in: 47 162 226
out: 0 0 1
in: 137 84 250
out: 0 0 1
in: 218 216 176
out: 0 1 0
in: 252 215 111
out: 0 1 0
in: 39 207 243
out: 0 0 1
in: 187 238 125
out: 0 1 0
in: 55 145 107
out: 0 1 0
in: 247 193 59
out: 0 1 0
in: 124 206 252
out: 0 0 1
in: 122 170 44
out: 0 1 0
in: 1 24 85
out: 0 0 1
in: 195 66 10
out: 1 0 0
in: 192 212 209
out: 0 1 0
in: 151 219 79
out: 0 1 0
in: 104 103 182
out: 0 0 1
in: 36 214 13
out: 0 1 0
in: 147 131 88
out: 0 1 0
in: 18 41 215
out: 0 0 1
in: 225 174 109
out: 0 1 0
in: 183 179 207
out: 0 0 1
in: 197 222 219
out: 0 1 0
in: 214 126 239
out: 0 0 1
in: 128 100 146
out: 0 0 1
in: 250 92 28
out: 1 0 0
in: 145 243 234
out: 0 1 0
in: 96 147 66
out: 0 1 0
in: 12 120 221
out: 0 0 1
in: 249 177 198
out: 1 0 0
in: 192 131 66
out: 0 1 0
in: 54 176 148
out: 0 1 0
in: 160 169 107
out: 0 1 0
in: 126 240 13
out: 0 1 0
in: 79 152 131
out: 0 1 0
in: 189 70 51
out: 1 0 0
in: 26 187 157
out: 0 1 0
in: 200 48 0
out: 1 0 0
in: 95 121 158
out: 0 0 1
in: 134 157 222
out: 0 0 1
in: 243 204 145
out: 0 1 0
in: 197 226 136
out: 0 1 0
in: 213 171 40
out: 0 1 0
in: 90 243 87
out: 0 1 0
in: 68 32 150
out: 0 0 1
in: 172 153 140
out: 0 1 0
in: 84 153 47
out: 0 1 0
in: 125 16 177
out: 0 0 1
in: 116 122 211
out: 0 0 1
in: 72 113 212
out: 0 0 1
